epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,218.832,1.29035,2.03607,2.80705,0.8855,0,0.42525,0.39306,0.35968,0.24406,0.42686,0.37269,0.35677,0.27727,1.44707,2.49743,34.4649,1.06402,0,0.000332151,0.000332151,0.067117
2,422.622,1.34173,2.03578,2.24025,0.89368,0,0.75971,0.44722,0.51181,0.36635,0.76275,0.45241,0.51502,0.38421,1.26677,3.31685,4.97356,0.97433,0,0.000643524,0.000643524,0.0340951
3,625.941,1.32341,1.96538,2.15259,0.90364,0,0.64073,0.51476,0.58029,0.36943,0.63707,0.51416,0.57831,0.37283,1.31301,2.19093,7.83334,0.90306,0,0.000932896,0.000932896,0.0010511
4,827.513,1.2739,1.88238,1.97173,0.87188,0,0.72795,0.64692,0.71646,0.50016,0.71958,0.64483,0.71181,0.51769,1.19013,1.79234,2.08462,0.87635,0,0.000901,0.000901,0.000901
5,1029.77,1.24196,1.8284,1.85935,0.85944,0,0.77137,0.65396,0.72797,0.52784,0.777,0.66156,0.73664,0.56022,1.16574,1.67482,1.6132,0.8457,0,0.000868,0.000868,0.000868
6,1231.82,1.2073,1.79166,1.80642,0.85539,0,0.82227,0.5246,0.68413,0.52139,0.82823,0.52953,0.68852,0.54539,1.15562,1.87097,1.89132,0.84299,0,0.000835,0.000835,0.000835
7,1433.16,1.1658,1.70677,1.67212,0.83208,0,0.85916,0.68384,0.78195,0.58465,0.85647,0.68132,0.78251,0.59445,1.10345,1.78747,1.48075,0.82836,0,0.000802,0.000802,0.000802
8,1635.28,1.13302,1.64856,1.61464,0.81946,0,0.80619,0.72282,0.78729,0.57588,0.81922,0.73214,0.79783,0.59808,1.0935,1.56914,1.4358,0.81697,0,0.000769,0.000769,0.000769
9,1836.63,1.11966,1.64419,1.57322,0.82004,0,0.77201,0.61038,0.72848,0.53873,0.79274,0.6176,0.74217,0.55212,1.13716,1.75594,1.95225,0.83999,0,0.000736,0.000736,0.000736
10,2037.97,1.12044,1.63633,1.535,0.82435,0,0.83265,0.75502,0.81205,0.6009,0.83641,0.7598,0.81724,0.62935,1.05283,1.50432,1.41512,0.81199,0,0.000703,0.000703,0.000703
