epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.109,1.34266,4.77232,1.00073,0.15942,0.08348,0.1086,0.07869,1.28992,8.20531,1.05073,0.000332041,0.000332041,0.0671279
2,294.53,1.4021,3.84396,1.01028,0.27244,0.15163,0.1981,0.12607,1.4802,14.0828,1.12367,0.000643417,0.000643417,0.0341059
3,440.307,1.39446,3.6407,1.00095,0.37006,0.14914,0.24675,0.18213,1.1902,5.45708,0.9074,0.000932793,0.000932793,0.00106199
4,586.006,1.34026,3.34415,0.97866,0.37067,0.28817,0.33437,0.23414,1.06907,5.51413,0.86134,0.000901,0.000901,0.000901
5,731.575,1.29927,3.10062,0.94729,0.3726,0.24319,0.30908,0.22378,1.12326,4.14448,0.89954,0.000868,0.000868,0.000868
6,876.521,1.23178,2.86154,0.92311,0.4707,0.30117,0.39884,0.27933,1.05928,6.28509,0.84144,0.000835,0.000835,0.000835
7,1022.08,1.20716,2.69181,0.90503,0.49404,0.34918,0.44203,0.33418,1.0276,3.20738,0.84491,0.000802,0.000802,0.000802
8,1167.64,1.19566,2.62658,0.90018,0.5915,0.31982,0.46682,0.34453,1.00892,4.21013,0.81602,0.000769,0.000769,0.000769
9,1313.18,1.146,2.39112,0.87572,0.58674,0.34986,0.48626,0.36738,0.97426,2.54359,0.81458,0.000736,0.000736,0.000736
10,1458.91,1.13459,2.38628,0.87356,0.67486,0.44357,0.57885,0.42512,0.96594,2.51687,0.80881,0.000703,0.000703,0.000703
11,1604.5,1.09587,2.25085,0.85963,0.66308,0.36846,0.51678,0.3951,0.95296,3.01414,0.79017,0.00067,0.00067,0.00067
12,1749.43,1.08521,2.14149,0.85341,0.71422,0.39593,0.57867,0.46888,0.95379,2.35092,0.79981,0.000637,0.000637,0.000637
13,1895,1.07803,2.09306,0.84624,0.70186,0.46831,0.61881,0.49161,0.90341,1.97627,0.776,0.000604,0.000604,0.000604
14,2040.48,1.04514,1.98305,0.83503,0.68007,0.50367,0.62719,0.48735,0.90945,1.96681,0.78573,0.000571,0.000571,0.000571
15,2185.42,1.03877,1.95536,0.83752,0.63636,0.42754,0.54709,0.40937,0.95382,2.61815,0.78505,0.000538,0.000538,0.000538
16,2330.39,1.00363,1.79345,0.8151,0.72156,0.57987,0.68279,0.52367,0.89622,1.70401,0.77317,0.000505,0.000505,0.000505
17,2475.96,0.99557,1.78112,0.82154,0.71787,0.45731,0.61138,0.48208,0.90329,1.92586,0.79271,0.000472,0.000472,0.000472
18,2620.85,0.96911,1.67719,0.80843,0.73259,0.59692,0.69897,0.54906,0.86818,1.59781,0.76563,0.000439,0.000439,0.000439
19,2766.4,0.9698,1.63817,0.8048,0.78922,0.59159,0.71875,0.56344,0.8294,1.46036,0.74243,0.000406,0.000406,0.000406
20,2911.84,0.96032,1.56372,0.80523,0.804,0.6275,0.74656,0.58888,0.82526,1.41014,0.74704,0.000373,0.000373,0.000373
21,3058.06,0.8991,1.42164,0.80957,0.7392,0.60538,0.69579,0.54488,0.83946,1.65754,0.75774,0.00034,0.00034,0.00034
22,3202.78,0.87133,1.30836,0.79798,0.80301,0.63332,0.7476,0.59538,0.82952,1.27175,0.74672,0.000307,0.000307,0.000307
23,3348.35,0.86446,1.20183,0.79339,0.75478,0.69555,0.76023,0.60155,0.8125,1.23911,0.74771,0.000274,0.000274,0.000274
24,3493.82,0.83459,1.11023,0.77951,0.74932,0.69781,0.75631,0.59955,0.80111,1.30162,0.73326,0.000241,0.000241,0.000241
25,3638.62,0.81419,1.0579,0.76407,0.81611,0.70368,0.78645,0.6265,0.80302,1.19291,0.7362,0.000208,0.000208,0.000208
26,3783.97,0.79473,1.00242,0.76526,0.80047,0.70539,0.78609,0.63014,0.79781,1.09703,0.73734,0.000175,0.000175,0.000175
27,3929.38,0.78079,0.94127,0.7535,0.82011,0.71687,0.79318,0.63293,0.78708,1.1517,0.73338,0.000142,0.000142,0.000142
28,4074.83,0.75086,0.90105,0.73918,0.82595,0.73365,0.81242,0.64971,0.77236,1.05945,0.73155,0.000109,0.000109,0.000109
29,4220.29,0.73495,0.82613,0.7318,0.8196,0.75096,0.81421,0.65909,0.76594,0.98622,0.72786,7.6e-05,7.6e-05,7.6e-05
30,4365.72,0.71458,0.78661,0.72276,0.85499,0.75689,0.82616,0.66098,0.76515,1.01695,0.72993,4.3e-05,4.3e-05,4.3e-05
