epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,train_total_loss,val_total_loss
1,98.8409,1.40083,2.13415,1.0028,0.79014,0.68576,0.7591,0.52805,1.23208,1.6932,0.88782,3.32151e-05,3.32151e-05,0.0668181,4.53778,3.8131
2,195.008,1.31966,1.53511,0.94809,0.83859,0.74435,0.81546,0.56639,1.16895,1.37792,0.84344,5.99602e-05,5.99602e-05,0.0335115,3.8028600000000004,3.3903100000000004
3,290.299,1.28848,1.36266,0.92236,0.8305,0.76402,0.83076,0.58376,1.15709,1.24243,0.83719,8.01052e-05,8.01052e-05,0.000198309,3.5734999999999997,3.23671
4,385.565,1.26127,1.2734,0.91093,0.86121,0.79069,0.86007,0.61151,1.14171,1.16533,0.8277,7.03e-05,7.03e-05,7.03e-05,3.4456,3.13474
5,480.697,1.24114,1.20985,0.89919,0.87137,0.81949,0.87492,0.61648,1.13847,1.12602,0.82257,6.04e-05,6.04e-05,6.04e-05,3.35018,3.08706
6,575.773,1.2283,1.16234,0.8926,0.88161,0.81702,0.87856,0.62027,1.14134,1.10816,0.82335,5.05e-05,5.05e-05,5.05e-05,3.2832399999999997,3.0728500000000003
7,671.255,1.2079,1.12246,0.88251,0.86373,0.8155,0.87432,0.62036,1.13274,1.09033,0.82193,4.06e-05,4.06e-05,4.06e-05,3.2128699999999997,3.045
8,766.478,1.2032,1.09364,0.87854,0.86313,0.83155,0.87968,0.6325,1.12757,1.05432,0.81742,3.07e-05,3.07e-05,3.07e-05,3.17538,2.9993100000000004
9,861.623,1.19506,1.07774,0.87514,0.88264,0.8148,0.88121,0.62801,1.1364,1.03089,0.81638,2.08e-05,2.08e-05,2.08e-05,3.14794,2.9836700000000005
10,956.613,1.18239,1.05948,0.87289,0.87862,0.8317,0.8853,0.63049,1.13097,1.03929,0.81705,1.09e-05,1.09e-05,1.09e-05,3.11476,2.98731
11,156.102,1.38759,1.75836,0.92138,0.80345,0.71248,0.78442,0.52354,1.31829,1.6846,0.90987,0.000332151,0.000332151,0.067117,4.06733,3.9127599999999996
12,310.165,1.38983,1.7169,0.91933,0.7943,0.61156,0.72799,0.50315,1.29025,1.83308,0.9132,0.000632543,0.000632543,0.0340841,4.026059999999999,4.03653
13,463.181,1.38542,1.70954,0.93231,0.81948,0.67354,0.76419,0.5505,1.21804,1.53441,0.88033,0.000899935,0.000899935,0.00101814,4.027270000000001,3.63278
14,616.235,1.37766,1.63187,0.91953,0.78298,0.71673,0.772,0.52172,1.27714,1.58723,0.89258,0.0008515,0.0008515,0.0008515,3.9290599999999998,3.7569500000000002
15,768.824,1.37598,1.62017,0.91565,0.81672,0.6918,0.78533,0.53827,1.28353,1.64558,0.8983,0.000802,0.000802,0.000802,3.9118,3.82741
16,921.203,1.35351,1.57921,0.90907,0.79056,0.67743,0.76925,0.52519,1.21365,1.77852,0.86603,0.0007525,0.0007525,0.0007525,3.8417899999999996,3.8581999999999996
17,1073.64,1.33624,1.47587,0.90008,0.8405,0.81712,0.86254,0.57554,1.26714,1.25781,0.88146,0.000703,0.000703,0.000703,3.71219,3.40641
18,1226.72,1.29884,1.4284,0.87718,0.84366,0.80555,0.86138,0.58614,1.2216,1.23624,0.85162,0.0006535,0.0006535,0.0006535,3.60442,3.30946
19,1379.8,1.2966,1.39836,0.87702,0.82526,0.67344,0.79062,0.56543,1.21213,1.39019,0.86223,0.000604,0.000604,0.000604,3.57198,3.46455
20,1532.27,1.29271,1.35303,0.88688,0.89192,0.79112,0.86671,0.61081,1.22698,1.14126,0.86415,0.0005545,0.0005545,0.0005545,3.53262,3.23239
21,1686.09,1.2544,1.18769,0.90168,0.87167,0.81533,0.87606,0.61247,1.19179,1.10146,0.83919,0.000505,0.000505,0.000505,3.34377,3.13244
22,1839.12,1.23007,1.13422,0.89175,0.86122,0.81044,0.87923,0.62808,1.17645,1.12315,0.84683,0.0004555,0.0004555,0.0004555,3.25604,3.1464299999999996
23,1992.15,1.22107,1.09032,0.89002,0.90187,0.81469,0.87949,0.61835,1.17713,1.078,0.84198,0.000406,0.000406,0.000406,3.20141,3.0971100000000003
24,2144.57,1.20162,1.04799,0.87918,0.88514,0.83131,0.88829,0.62155,1.17342,1.05073,0.83313,0.0003565,0.0003565,0.0003565,3.1287899999999995,3.05728
25,2297.32,1.16935,0.98509,0.85778,0.87545,0.87023,0.90834,0.64486,1.14404,0.95697,0.82585,0.000307,0.000307,0.000307,3.01222,2.92686
26,2450.4,1.16027,0.94929,0.85407,0.89997,0.87707,0.91556,0.65485,1.10932,0.94776,0.80503,0.0002575,0.0002575,0.0002575,2.96363,2.86211
27,2603.47,1.13692,0.90576,0.84938,0.87225,0.87188,0.9065,0.64458,1.14978,1.00387,0.82865,0.000208,0.000208,0.000208,2.89206,2.9823
28,2755.84,1.125,0.87077,0.84379,0.92385,0.86765,0.92731,0.66479,1.13574,0.91222,0.81722,0.0001585,0.0001585,0.0001585,2.83956,2.8651799999999996
29,2908.83,1.09921,0.83127,0.83056,0.93191,0.86779,0.92757,0.66825,1.12142,0.90342,0.81693,0.000109,0.000109,0.000109,2.76104,2.8417700000000004
30,3061.88,1.08415,0.78657,0.82255,0.93464,0.88873,0.93693,0.6682,1.1224,0.8485,0.81546,5.95e-05,5.95e-05,5.95e-05,2.69327,2.78636
